2024-03-26 09:55:52.513 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:81 |main==> 当前ESL连接状态: CONNECTING，等待socket连接成功...0
2024-03-26 09:55:53.533 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:86 |main==> 当前ESL连接状态: AUTHED
2024-03-26 09:56:25.904 |INFO  | |InboundApp,,, |publicExecutor-1-1 |com.colawz.InboundApp |InboundApp.java:89 |main==> originate jobId: 24bb8c13-8919-45a6-9738-ca76a3ec6dd0
2024-03-26 09:58:03.048 |ERROR | |InboundApp,,, |nioEventLoopGroup-4-1 |l.t.f.e.i.h.InboundChannelHandler |InboundChannelHandler.java:116 |exceptionCaught remoteAddr : 172.18.70.189:8021, cause : 
io.netty.handler.timeout.ReadTimeoutException: null
2024-03-26 10:02:27.035 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:82 |main==> 当前ESL连接状态: CONNECTING，等待socket连接成功...0
2024-03-26 10:02:28.042 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:87 |main==> 当前ESL连接状态: AUTHED
2024-03-26 10:04:48.503 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:82 |main==> 当前ESL连接状态: CONNECTING，等待socket连接成功...0
2024-03-26 10:04:49.515 |INFO  | |InboundApp,,, |main |com.colawz.InboundApp |InboundApp.java:87 |main==> 当前ESL连接状态: AUTHED
2024-03-26 10:05:02.052 |INFO  | |InboundApp,,, |publicExecutor-1-2 |com.colawz.InboundApp |InboundApp.java:44 |MyEventReceived==> addr: 172.18.70.189:8021, event: {"eventBodyLines":[],"eventDateGmt":"Tue, 26 Mar 2024 02:04:57 GMT","eventDateLocal":"2024-03-26 10:04:57","eventDateTimestamp":1711418697273487,"eventHeaders":{"Event-Date-Timestamp":"1711418697273487","":"","Core-UUID":"39276202-bf22-4f3e-8022-0705a8fc527c","Task-Group":"core","FreeSWITCH-Switchname":"DESKTOP-KO0QGS0","Event-Calling-Line-Number":"73","FreeSWITCH-Hostname":"DESKTOP-KO0QGS0","Event-Calling-Function":"switch_scheduler_execute","Event-Date-Local":"2024-03-26 10:04:57","Event-Name":"RE_SCHEDULE","FreeSWITCH-IPv6":"::1","Task-ID":"1","FreeSWITCH-IPv4":"172.18.70.189","Event-Sequence":"736","Task-Runtime":"1711418717","Event-Calling-File":"switch_scheduler.c","Event-Date-GMT":"Tue, 26 Mar 2024 02:04:57 GMT","Task-Desc":"heartbeat"},"eventName":"RE_SCHEDULE","messageHeaders":{"CONTENT_TYPE":"text/event-plain","CONTENT_LENGTH":"560"}}
2024-03-26 10:05:02.052 |INFO  | |InboundApp,,, |publicExecutor-1-1 |com.colawz.InboundApp |InboundApp.java:44 |MyEventReceived==> addr: 172.18.70.189:8021, event: {"eventBodyLines":[],"eventDateGmt":"Tue, 26 Mar 2024 02:04:57 GMT","eventDateLocal":"2024-03-26 10:04:57","eventDateTimestamp":1711418697273487,"eventHeaders":{"":"","Session-Count":"0","Max-Sessions":"1000","Core-UUID":"39276202-bf22-4f3e-8022-0705a8fc527c","Session-Peak-Max":"0","FreeSWITCH-Switchname":"DESKTOP-KO0QGS0","Event-Calling-Line-Number":"95","Up-Time":"0 years, 0 days, 0 hours, 15 minutes, 39 seconds, 624 milliseconds, 636 microseconds","FreeSWITCH-Hostname":"DESKTOP-KO0QGS0","Event-Date-Local":"2024-03-26 10:04:57","FreeSWITCH-IPv6":"::1","FreeSWITCH-IPv4":"172.18.70.189","Uptime-msec":"939624","Session-Per-Sec-Max":"0","Event-Date-GMT":"Tue, 26 Mar 2024 02:04:57 GMT","Session-Per-Sec":"30","Event-Date-Timestamp":"1711418697273487","Event-Info":"System Ready","FreeSWITCH-Version":"1.10.11-release~f24064f7c9~64bit","Session-Per-Sec-Last":"0","Session-Peak-FiveMin":"0","Event-Calling-Function":"send_heartbeat","Event-Name":"HEARTBEAT","Event-Sequence":"735","Session-Per-Sec-FiveMin":"0","Event-Calling-File":"switch_core.c","Idle-CPU":"99.479167","Session-Since-Startup":"0"},"eventName":"HEARTBEAT","messageHeaders":{"CONTENT_TYPE":"text/event-plain","CONTENT_LENGTH":"908"}}
